limit: 0	      1        1        1        1        1        1        1        1        1  
limit: 1	      1        2        3        4        5        6        7        8        9  
limit: 2	      1        3        6       10       15       21       28       36       45  
limit: 3	      1        4       10       20       35       56       84      120      165  
limit: 4	      1        5       15       35       70      126      210      330      495  
limit: 5	      1        6       21       56      126      252      462      792     1287  
limit: 6	      1        7       28       84      210      462      924     1716     3003  
limit: 7	      1        8       36      120      330      792     1716     3432     6435  
limit: 8	      1        9       45      165      495     1287     3003     6435    12870  
limit: 9	      0        8       52      216      710     1996     4998    11432    24301  
limit:10	      0        7       57      270      976     2967     7959    19384    43677  
limit:11	      0        6       60      324     1290     4242    12180    31536    75177  
limit:12	      0        5       61      375     1645     5852    17976    49428   124485  
limit:13	      0        4       60      420     2030     7812    25662    74880   199035  
limit:14	      0        3       57      456     2430    10116    35526   109944   308187  
limit:15	      0        2       52      480     2826    12732    47796   156816   463287  
limit:16	      0        1       45      489     3195    15597    62601   217701   677556  
limit:17	      0        0       36      480     3510    18612    79926   294624   965745  
limit:18	      0        0       28      456     3750    21652    99582   389208  1343521  
limit:19	      0        0       21      420     3900    24576   121191   502440  1826577  
limit:20	      0        0       15      375     3951    27237   144186   634446  2429487  
limit:21	      0        0       10      324     3900    29492   167826   784296  3164355  
limit:22	      0        0        6      270     3750    31212   191226   949860  4039335  
limit:23	      0        0        3      216     3510    32292   213402  1127736  5057127  
limit:24	      0        0        1      165     3195    32661   233331  1313271  6213582  
limit:25	      0        0        0      120     2826    32292   250026  1500696  7496577  
limit:26	      0        0        0       84     2430    31212   262626  1683396  8885349  
limit:27	      0        0        0       56     2030    29492   270466  1854280  10350421  
limit:28	      0        0        0       35     1645    27237   273127  2006216  11854197  
limit:29	      0        0        0       20     1290    24576   270466  2132496  13352247  
limit:30	      0        0        0       10      976    21652   262626  2227296  14795247  
limit:31	      0        0        0        4      710    18612   250026  2286096  16131483  
limit:32	      0        0        0        1      495    15597   233331  2306025  17309772  
limit:33	      0        0        0        0      330    12732   213402  2286096  18282597  
limit:34	      0        0        0        0      210    10116   191226  2227296  19009197  
limit:35	      0        0        0        0      126     7812   167826  2132496  19458297  
limit:36	      0        0        0        0       70     5852   144186  2006216  19610233  
limit:37	      0        0        0        0       35     4242   121191  1854280  19458297  
limit:38	      0        0        0        0       15     2967    99582  1683396  19009197  
limit:39	      0        0        0        0        5     1996    79926  1500696  18282597  
limit:40	      0        0        0        0        1     1287    62601  1313271  17309772  
limit:41	      0        0        0        0        0      792    47796  1127736  16131483  
limit:42	      0        0        0        0        0      462    35526   949860  14795247  
limit:43	      0        0        0        0        0      252    25662   784296  13352247  
limit:44	      0        0        0        0        0      126    17976   634446  11854197  
limit:45	      0        0        0        0        0       56    12180   502440  10350421  
limit:46	      0        0        0        0        0       21     7959   389208  8885349  
limit:47	      0        0        0        0        0        6     4998   294624  7496577  
limit:48	      0        0        0        0        0        1     3003   217701  6213582  
limit:49	      0        0        0        0        0        0     1716   156816  5057127  
limit:50	      0        0        0        0        0        0      924   109944  4039335  
limit:51	      0        0        0        0        0        0      462    74880  3164355  
limit:52	      0        0        0        0        0        0      210    49428  2429487  
limit:53	      0        0        0        0        0        0       84    31536  1826577  
limit:54	      0        0        0        0        0        0       28    19384  1343521  
limit:55	      0        0        0        0        0        0        7    11432   965745  
limit:56	      0        0        0        0        0        0        1     6435   677556  
limit:57	      0        0        0        0        0        0        0     3432   463287  
limit:58	      0        0        0        0        0        0        0     1716   308187  
limit:59	      0        0        0        0        0        0        0      792   199035  
limit:60	      0        0        0        0        0        0        0      330   124485  
limit:61	      0        0        0        0        0        0        0      120    75177  
limit:62	      0        0        0        0        0        0        0       36    43677  
limit:63	      0        0        0        0        0        0        0        8    24301  
limit:64	      0        0        0        0        0        0        0        1    12870  
limit:65	      0        0        0        0        0        0        0        0     6435  
limit:66	      0        0        0        0        0        0        0        0     3003  
limit:67	      0        0        0        0        0        0        0        0     1287  
limit:68	      0        0        0        0        0        0        0        0      495  
limit:69	      0        0        0        0        0        0        0        0      165  
limit:70	      0        0        0        0        0        0        0        0       45  
limit:71	      0        0        0        0        0        0        0        0        9  
limit:72	      0        0        0        0        0        0        0        0        1  
